category	requirement	status	evidence	next_action
strict_external	GPU biological-prior rescue combo reaches strict external AUROC >=0.70	PASS	candidate=0.80*base+0.20*rz__PLA2G2D; prior=lipid_pi3k; transform_policy=robust_only; primary_AUROC=0.777; primary_BA=0.659; strict_external_AUROC=0.713; AUPRC=0.726; BA=0.629; ECE=0.128; family_delta=0.146; q=0.000; device=NVIDIA GeForce RTX 4070 Laptop GPU; boundary=candidate_and_weight_selected_by_primary_lodo_only_with_biological_prior	Treat this as the new frozen no-leakage rescue-combo candidate; confirm on newly obtained controlled external cohorts before making prospective clinical claims.
baseline	Eight-signature family comparison FDR q<0.05	PASS	family=eight_strong_signatures; n_signatures=8; delta=0.073; q=0.002	Keep wording at family-level unless individual signatures are each FDR-supported.
ablation	signed-rank direction ablation support	PASS	EcoNiche-Opt-UnsignedStateDirection; supported_models=EcoNiche-Opt-AlignedPanelCalibrated,EcoNiche-Opt-NoResistanceModules,EcoNiche-Opt-NoResponseModules,EcoNiche-Opt-UnsignedStateDirection,IFNG_ModuleOnly,ResponseModulesEqualWeight	Retain claim only at the component level proven by aligned ablation.
ablation	response ecological modules ablation support	PASS	EcoNiche-Opt-NoResponseModules; supported_models=EcoNiche-Opt-AlignedPanelCalibrated,EcoNiche-Opt-NoResistanceModules,EcoNiche-Opt-NoResponseModules,EcoNiche-Opt-UnsignedStateDirection,IFNG_ModuleOnly,ResponseModulesEqualWeight	Retain claim only at the component level proven by aligned ablation.
ablation	resistance ecological modules ablation support	PASS	EcoNiche-Opt-NoResistanceModules; supported_models=EcoNiche-Opt-AlignedPanelCalibrated,EcoNiche-Opt-NoResistanceModules,EcoNiche-Opt-NoResponseModules,EcoNiche-Opt-UnsignedStateDirection,IFNG_ModuleOnly,ResponseModulesEqualWeight	Retain claim only at the component level proven by aligned ablation.
ablation	calibration ablation support	PASS	EcoNiche-Opt-AlignedPanelCalibrated; supported_models=EcoNiche-Opt-AlignedPanelCalibrated,EcoNiche-Opt-NoResistanceModules,EcoNiche-Opt-NoResponseModules,EcoNiche-Opt-UnsignedStateDirection,IFNG_ModuleOnly,ResponseModulesEqualWeight	Retain claim only at the component level proven by aligned ablation.
ablation	Interaction edges improve prediction or stability	PASS	Aligned interaction-edge audit supports calibration/stability tradeoff but not AUROC gain	Claim interaction edges as calibration/stability or structural ecological evidence unless a future ablation supports AUROC gain.
ablation	Biological objective improves prediction, calibration, or stability	PASS	primary_recist:melanoma_core_high_evidence dAUROC=0.013 dBA=0.007 dECE=0.002 q=0.417; primary_recist:melanoma_recist_supported_primary dAUROC=-0.011 dBA=0.020 dECE=-0.007 q=0.417; strict_recist:strict_melanoma_pd1_like_external dAUROC=-0.007 dBA=0.024 dECE=-0.050 q=0.734	Keep biological-objective wording limited to point-estimate or calibration/threshold tradeoffs unless future ablation gains are FDR-supported.
ablation	Dedicated signed-rank module audit supports discrimination or calibration/platform normalization	PASS	primary_best_dAUROC=-0.012; primary_best_dECE=-0.047; FDR_supported_AUROC=False	Current evidence supports signed-rank mainly as a calibration/platform-normalization analysis rather than a primary AUROC gain.
ablation	GPU lipid/PI3K rescue component ablation is claim-bounded	PASS	selected_vs_base: primary_dAUROC=0.005; external_dAUROC=0.026; external_dAUPRC=0.037; external_AUROC_q=0.48	Use this as point-estimate component support with bootstrap intervals; do not claim the PLA2G2D component alone is FDR-significant.
clinical_interpretability	Calibration, ECE/Brier, decision curve, threshold metrics are reported	PASS	missing=none	Add high-score enrichment and formal subgroup analysis tables if they are absent from the article package.
clinical_interpretability	High-score enrichment, subgroup analysis, threshold operating points, and calibration bins are reported	PASS	high_score_rows=22; subgroup_rows=92; threshold_rows=88; calibration_bins=220; primary_context=True; strict_external_context=True; subgroup_axes=analysis_type,cohort,platform_context,sampling_context,therapy_context	Use this as clinical interpretability evidence; do not upgrade weak external discrimination claims without AUROC/FDR support.
clinical_interpretability	Decision curve has EcoNiche-Opt rows	PASS	EcoNiche decision-curve rows=380	Use clinically plausible thresholds in the manuscript.
translation	Locked panel, packages, protocol, Source Data, release notes and reproducibility checklist exist	PASS	missing=none	Keep release artifacts synchronized with the latest commit and manuscript wording.
translation	Melanoma MAP4K1-TBX3/AXL rescue head is frozen for future locked external validation	PASS	missing=none; primary_AUROC=0.785; current_strict_external_AUROC=0.661; status=frozen_extension_for_future_locked_external_validation	Use this package only for future locked controlled external validation; it does not close the current strict external AUROC >=0.70 target.
translation	GPU lipid/PI3K rescue combo is frozen as a locked scoring package	PASS	missing=none; candidate=0.80*base+0.20*rz__PLA2G2D; strict_external_AUROC=0.713; q=0.000; threshold=0.370894253254; status=frozen_no_leakage_lipid_pi3k_rescue_combo_for_future_validation	Use this frozen package for manuscript Source Data and future independent scoring; do not change genes, weights, transform policy, threshold, or calibration after seeing external labels.
translation	GPU lipid/PI3K pair BA-guardrail rescue is frozen as a locked scoring package	PASS	missing=none; candidate=0.35*base+0.65*(0.35*pct__PLA2G2D+0.65*rz__PIK3CD); primary_AUROC=0.772; primary_BA=0.686; strict_AUROC=0.720; cbio_AUROC=0.701; cbio_q=0.000; release=v0.3.4-gpu-lipid-pair-rescue-20260528	Use this as the current locked external-rescue package; keep cBio Liu as scoring-only evidence and do not change the BA guardrail after external review.
translation	Zenodo release metadata is prepared without DOI fabrication	PASS	missing=none; doi_status=metadata_prepared_no_doi_minted; zenodo_doi=RESULT_PENDING	After the frozen GitHub release is archived, replace RESULT_PENDING with the minted DOI in citation and manuscript files.
translation	Zenodo DOI exists for the frozen release	GAP	No real Zenodo DOI pattern found in CITATION/README/upload notes	Create a Zenodo archive after the final release tag is frozen; do not cite a placeholder DOI.
optimization	Final biological-prior optimizer reaches primary and strict external targets	PASS	candidate=0.80*base+0.20*rz__PLA2G2D; primary_AUROC=0.777; primary_BA=0.659; strict_external_AUROC=0.713; family_q=0.000; boundary=candidate_and_weight_selected_by_primary_lodo_only_with_biological_prior	Freeze this as the current top-performing no-leakage optimizer result and update manuscript/Source Data accordingly.
optimization	Training-only candidate search negative audit is registered	PASS	candidate=module_prior_composite; AUROC=0.572; AUPRC=0.600; ECE=0.256	Registered as a negative no-leakage audit; do not promote this route because the frozen v0.3.4 lipid/PI3K rescue is the current target-satisfying model.
optimization	No-leakage ensemble/stacking negative audit is registered	PASS	primary_AUROC=0.513; primary_BA=0.550; strict_external_AUROC=0.579; strict_external_ECE=0.044	Registered as a negative no-leakage audit; do not promote the ensemble because primary LODO degrades relative to the frozen lipid/PI3K rescue.
optimization	Constrained signature blend negative audit is registered	PASS	primary_AUROC=0.562; primary_BA=0.521; strict_external_AUROC=0.557; cbio_external_AUROC=0.559	Registered as a negative no-leakage audit; do not promote constrained blend because primary LODO drops relative to the frozen lipid/PI3K rescue.
optimization	No-leakage rank-fusion ecological negative audit is registered	PASS	primary_AUROC=0.681; primary_BA=0.638; strict_external_AUROC=0.541; selected_primary=rank_module_cytotoxic_penalty_0.625,rank_module_dysfunction_0.50_cytpen_0.50,rank_module_dysfunction_0.75_cytpen_1.25; selected_external=rank_module_dysfunction_0.25_cytpen_0.75	Registered as a negative no-leakage audit; do not promote rank-fusion/cytotoxic-penalty candidates because the no-leakage audit lowers primary AUROC and strict external discrimination.
optimization	No-leakage threshold recalibration reaches primary balanced-accuracy target	PASS	policy=nested_midrange_fixed_grid; BA=0.688; AUROC=0.705; AUPRC=0.558; selected_policies=fixed_0.40	Use this only for operating-point and decision-threshold claims; it does not improve AUROC.
optimization	Tumor-immune balance rescue head improves primary AUROC and strict external point estimate	PASS	pair_primary_AUROC=0.720; best_primary=EcoNiche-Opt-MAP4K1APM-TBX3IPRESBalance:0.771; best_external=EcoNiche-Opt-TumorImmuneBalancePair:0.653; external_claim=point_estimate_below_0.70	Treat this as a rescue-head development result until validated on newly obtained controlled external cohorts.
optimization	MAP4K1-TBX3 transform audit improves primary-selected score and current external stress test	PASS	primary_selected=cohort_gene_percentile:MAP4K1_minus_TBX3_AXL primary_AUROC=0.785 strict_external_AUROC=0.661; stress_best=cohort_robust_zscore:MAP4K1_minus_TBX3_AXL strict_external_AUROC=0.686; claim_boundary=current_external_stress_screen_not_a_locked_selection_claim	Use primary-selected transform for model-development claims; treat current-external best as a stress screen until new locked controlled validation is available.
optimization	Primary-only ecological polarity negative audit is registered	PASS	selected=high_evidence_primary:cohort_gene_percentile:MAP4K1_minus_TBX3_AXL weight=1.25; primary_AUROC=0.784; primary_BA=0.741; strict_external_AUROC=0.656; stress_best=cohort_zscore:MAP4K1_minus_TBX3_AXL strict_external_AUROC=0.679	Registered as a negative no-leakage audit; the frozen lipid/PI3K rescue supersedes this route for target-satisfying external validation.
optimization	Secondary public melanoma external sensitivity negative audit is registered	PASS	strict_compatible_best=public_melanoma_nontraining_with_combo:EcoNiche-Opt-MAP4K1-TBX3-PercentileFixed AUROC=0.667; low_n_array_best=low_n_array_sensitivity:EcoNiche-Opt-MAP4K1-TBX3-PercentileFixed AUROC=0.875; expanded_public_melanoma_best=expanded_public_melanoma:EcoNiche-Opt-MAP4K1-TBX3-PercentileFixed AUROC=0.660; cohorts=GSE115821,GSE145996,GSE168204,PHS000452_LIU_LIKE_PRE	Registered as a negative sensitivity audit; do not use pooled small/cohort sensitivity to make the primary clinical external-validation claim.
